년월,구인인원,구직자수,취업건수
201201,"131,160","235,809","44,235"
201202,"156,599","216,700","55,254"
201203,"162,462","235,159","78,244"
201204,"150,327","212,236","65,454"
201205,"162,145","208,007","62,719"
201206,"147,424","200,864","59,898"
201207,"143,874","205,117","63,462"
201208,"152,785","196,239","59,921"
201209,"135,059","193,947","62,024"
201210,"167,811","211,607","61,602"
201211,"151,054","201,451","69,883"
201212,"117,819","200,379","49,055"
201301,"162,117","296,229","61,087"
201302,"132,412","208,092","62,189"
201303,"170,643","262,641","90,131"
201304,"152,811","248,947","84,003"
201305,"151,908","225,803","73,950"
201306,"148,405","215,926","65,045"
201307,"138,815","266,551","76,164"
201308,"146,911","224,526","67,208"
201309,"140,100","220,526","65,996"
201310,"150,502","252,886","73,348"
201311,"134,893","208,348","71,589"
201312,"133,342","250,188","62,652"
201401,"136,730","299,955","61,877"
201402,"145,527","239,384","69,886"
201403,"150,454","266,707","98,826"
201404,"170,488","248,717","85,685"
201405,"130,924","225,168","72,371"
201406,"132,254","234,648","69,784"
201407,"137,852","272,245","77,872"
201408,"137,517","217,152","66,276"
201409,"137,728","225,426","66,737"
201410,"141,581","245,293","75,556"
201411,"126,783","224,073","63,943"
201412,"147,873","235,098","61,100"
201501,"137,464","323,548","76,535"
201502,"108,653","219,592","63,735"
201503,"183,479","284,766","99,716"
201504,"138,335","260,023","88,414"
201505,"122,386","219,804","70,033"
201506,"150,426","245,213","77,943"
201507,"127,293","283,965","76,997"
201508,"134,096","217,781","66,270"
201509,"135,974","227,142","71,466"
201510,"147,264","250,155","71,964"
201511,"132,268","218,446","71,039"
201512,"152,070","246,086","63,112"
201601,"131,893","309,475","68,507"
201602,"127,317","225,314","64,521"
201603,"180,460","292,730","95,636"
201604,"134,727","233,340","78,295"
201605,"133,845","213,774","69,665"
201606,"151,907","231,129","68,926"
201607,"129,203","239,837","69,235"
201608,"148,535","212,162","61,856"
201609,"147,425","202,963","61,739"
201610,"146,518","207,056","65,313"
201611,"140,573","204,662","65,896"
201612,"164,990","206,901","58,909"
201701,"135,596","254,381","58,156"
201702,"154,097","209,136","364,563"
201703,"190,803","251,660","85,585"
201704,"143,058","220,370","68,357"
201705,"146,198","219,211","57,233"
201706,"167,787","231,035","61,025"
201707,"136,595","229,101","59,604"
201708,"145,625","215,181","54,438"
201709,"140,862","213,663","61,918"
201710,"123,499","191,269","43,716"
201711,"133,954","221,656","59,057"
201712,"129,394","213,616","50,705"
201801,"152,123","280,686","60,377"
201802,"111,514","201,970","51,090"
201803,"161,055","268,960","75,124"
201804,"132,298","228,857","67,013"
201805,"130,283","218,862","58,237"
201806,"139,032","219,093","56,985"
201807,"128,378","236,747","59,263"
201808,"132,207","214,040","53,622"
201809,"110,239","186,805","52,009"
201810,"132,783","227,062","53,698"
201811,"118,054","204,786","56,837"
201812,"114,236","203,032","47,332"
201901,"117,502","305,090","61,668"
201902,"103,058","208,145","48,615"
201903,"126,983","262,698","76,831"
201904,"120,337","240,592","67,359"
201905,"113,868","217,896","60,065"
201906,"110,306","219,205","55,513"
201907,"112,095","248,714","62,550"
201908,"103,620","207,994","53,895"
201909,"112,073","205,496","51,702"
201910,"110,837","229,847","58,370"
201911,"109,407","216,152","54,908"
201912,"111,859","225,596","47,806"
202001,"109,209","302,518","55,405"
202002,"112,935","244,566","60,175"
202003,"97,697","292,051","64,645"
202004,"78,549","266,717","56,940"
202005,"91,327","246,940","49,683"
202006,"105,420","265,444","54,409"
202007,"104,692","276,503","58,910"
202008,"115,148","246,007","59,530"
202009,"109,750","271,245","66,022"
202010,"120,276","284,991","60,737"
202011,"125,697","245,001","66,511"
