구인업체명,모집기간,인원,성별,연령,급여 타입,급여,근무요일,근무시간형태,근무시간,업종,고용형태,데이터기준일자
효자명당,2020-08-10 - 2020-08-10,1,여,연령 무관,일급,90000,주1일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
경주회식당,2020-08-10 - 2020-08-16,1,여,45 - 59,일급,90000,주2일,풀타임,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
무한대장,2020-08-10 - 2020-08-10,1,성별무관,연령 무관,시급,9000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
화도횟집,2020-08-10 - 2020-08-16,1,여,연령 무관,일급,100000,"주말(토, 일)",풀타임,09:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
과수원,2020-08-10 - 2020-08-16,1,여,연령 무관,시급,9000,주3일,기타,17:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
과수원,2020-08-10 - 2020-08-13,1,여,연령 무관,일급,90000,주1일,풀타임,18:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
대복삼계탕,2020-08-10 - 2020-08-10,1,여,30 - 60,일급,120000,주1일,기타,10:30~21:30,주방보조 및 홀서빙,무관,2020-08-13
웰빙우렁이 쌈밥,2020-08-10 - 2020-08-10,1,여,연령 무관,시급,9000,주1일,기타,10:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
한양횟집,2020-08-10 - 2020-08-12,1,여,45 - 55,일급,100000,주2일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
금강산회식당,2020-08-10 - 2020-08-10,1,여,30 - 60,시급,10000,주1일,기타,10:00~14:00,주방보조 및 홀서빙,자투리시간,2020-08-13
대복삼계탕,2020-08-10 - 2020-08-10,1,여,30 - 60,일급,90000,주1일,기타,10:30~21:30,주방보조 및 홀서빙,무관,2020-08-13
명천회식당,2020-08-10 - 2020-08-11,1,여,30 - 50,일급,90000,주1일,풀타임,09:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
청림식육식당,2020-08-10 - 2020-08-14,1,여,연령 무관,시급,8590,주5일,기타,10:00~14:00,주방보조 및 홀서빙,자투리시간,2020-08-13
라스트코리아,2020-08-10 - 2020-08-31,3,여,연령 무관,시급,8590,월~금,기타,13:00~18:00,단순노무 및 생산직,자투리시간,2020-08-13
황장군,2020-08-10 - 2020-08-14,1,여,0 - 50,시급,8600,주3일,기타,09:30~15:30,주방보조 및 홀서빙,자투리시간,2020-08-13
백년갈비,2020-08-10 - 2020-08-12,1,여,연령 무관,일급,50000,주1일,저녁 타임,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
대복삼계탕,2020-08-10 - 2020-08-15,1,여,30 - 60,일급,협의가능,주1일,기타,10:30~21:30,주방보조 및 홀서빙,무관,2020-08-13
대복삼계탕,2020-08-10 - 2020-08-15,1,여,30 - 60,일급,협의가능,주1일,기타,10:30~21:30,주방보조 및 홀서빙,무관,2020-08-13
금조갈비,2020-08-10 - 2020-08-11,1,여,45 - 60,일급,100000,주6일,기타,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
옥류관(산골칡),2020-08-10 - 2020-08-30,1,여,연령 무관,시급,8590,주5일,기타,10:30~14:30,주방보조 및 홀서빙,자투리시간,2020-08-13
고구려화로구이,2020-08-10 - 2020-08-11,1,여,연령 무관,시급,9000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
해미해물찜,2020-08-10 - 2020-08-17,1,여,30 - 65,주급,350000,주4일,저녁 타임,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
아리랑감자탕,2020-08-10 - 2020-08-11,1,여,연령 무관,시급,9000,주2일,기타,17:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
신대구식당,2020-08-10 - 2020-08-10,1,여,연령 무관,일급,50000,주1일,기타,08:30~14:30,주방보조 및 홀서빙,자투리시간,2020-08-13
팔공숯불구이,2020-08-10 - 2020-08-12,1,여,연령 무관,일급,50000,주1일,기타,17:00~22:30,주방보조 및 홀서빙,자투리시간,2020-08-13
만세회센터,2020-08-10 - 2020-08-16,1,여,45 - 55,시급,10000,"주말(토, 일)",기타,12:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
동인동 양푼이갈비찜,2020-08-10 - 2020-08-17,1,여,연령 무관,시급,8590,주2일,기타,10:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
나루칼국수,2020-08-10 - 2020-08-10,1,여,30 - 55,시급,8590,월~금,기타,12:00~16:00,주방보조 및 홀서빙,무관,2020-08-13
고기는,2020-08-10 - 2020-08-10,1,여,45 - 60,시급,9000,주1일,저녁 타임,17:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
아재네생선구이,2020-08-10 - 2020-08-10,1,여,연령 무관,일급,90000,주2일,기타,11:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
샤브마니아 포항 양덕점,2020-08-10 - 2020-08-31,2,성별무관,연령 무관,협의가능,협의가능,무관,오전 타임,10:00~15:00,주방보조 및 홀서빙,무관,2020-08-13
커페루앤비포항장량점,2020-08-09 - 2020-08-31,1,성별무관,20 - 40,시급,8590,주2일,기타,10:00~21:00,서비스 및 판매직,자투리시간,2020-08-13
돈통마늘보쌈,2020-08-07 - 2020-08-07,1,여,30 - 60,일급,50000,주2일,기타,17:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
송화타운,2020-08-07 - 2020-08-07,1,여,연령 무관,시급,8590,주1일,기타,10:00~16:00,주방보조 및 홀서빙,무관,2020-08-13
돈수육백반,2020-08-07 - 2020-08-08,1,여,연령 무관,시급,8590,주1일,기타,09:00~15:00,주방보조 및 홀서빙,무관,2020-08-13
샤브20 장성점,2020-08-07 - 2020-08-09,1,성별무관,30 - 55,일급,110000,주1일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
기찻길옆막창,2020-08-07 - 2020-08-08,1,여,연령 무관,일급,75000,주1일,기타,12:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
할매실비회식당,2020-08-07 - 2020-08-10,1,여,30 - 62,일급,협의가능,주1일,풀타임,09:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
청림식육식당,2020-08-07 - 2020-08-14,1,여,연령 무관,시급,8590,주5일,기타,10:00~14:00,주방보조 및 홀서빙,자투리시간,2020-08-13
대련숯불갈비,2020-08-07 - 2020-08-07,1,여,40 - 63,일급,90000,주3일,기타,10:00~21:30,주방보조 및 홀서빙,자투리시간,2020-08-13
바다이야기회식당,2020-08-07 - 2020-08-12,1,여,연령 무관,일급,90000,"주말(토, 일)",기타,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
착한장어(효자),2020-08-07 - 2020-08-12,1,여,연령 무관,시급,10000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
황장군,2020-08-07 - 2020-08-09,1,여,0 - 50,시급,8600,주1일,기타,16:30~21:30,주방보조 및 홀서빙,자투리시간,2020-08-13
대복삼계탕,2020-08-07 - 2020-08-23,1,여,30 - 60,시급,10000,주1일,기타,10:30~14:30,주방보조 및 홀서빙,무관,2020-08-13
옛날그집(옻삼계탕),2020-08-07 - 2020-08-10,1,여,연령 무관,시급,10000,"주말(토, 일)",기타,10:00~15:00,주방보조 및 홀서빙,무관,2020-08-13
옛날그집(옻삼계탕),2020-08-07 - 2020-08-16,2,여,연령 무관,시급,10000,"주말(토, 일)",기타,10:00~20:00,주방보조 및 홀서빙,무관,2020-08-13
해동회수산,2020-08-06 - 2020-08-10,1,여,45 - 60,시급,9000,주2일,기타,16:30~21:30,주방보조 및 홀서빙,자투리시간,2020-08-13
토담전복순두부,2020-08-06 - 2020-08-06,1,여,연령 무관,시급,8590,주1일,기타,11:00~15:00,주방보조 및 홀서빙,자투리시간,2020-08-13
강변횟집,2020-08-06 - 2020-08-06,1,여,45 - 55,일급,100000,주1일,기타,11:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
과수원,2020-08-06 - 2020-08-07,1,여,연령 무관,시급,9000,주1일,풀타임,18:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
착한장어(효자),2020-08-06 - 2020-08-08,1,여,연령 무관,시급,10000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
명가전통민물장어,2020-08-06 - 2020-08-13,1,여,연령 무관,일급,95000,주1일,기타,10:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
24시 전주콩나물국밥(죽도동),2020-08-06 - 2020-08-07,1,여,40 - 60,시급,10000,주1일,기타,11:00~14:00,주방보조 및 홀서빙,자투리시간,2020-08-13
할매육숫간,2020-08-06 - 2020-08-09,1,여,40 - 60,일급,90000,주1일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
이층회센터,2020-08-06 - 2020-08-09,1,여,연령 무관,일급,협의가능,주2일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
이층회센터,2020-08-06 - 2020-08-17,1,여,연령 무관,일급,협의가능,주3일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
신항만대게회식당,2020-08-06 - 2020-08-06,1,여,연령 무관,시급,10000,주1일,기타,10:00~19:00,주방보조 및 홀서빙,자투리시간,2020-08-13
원조산호숯불아나고,2020-08-06 - 2020-08-07,1,여,30 - 60,시급,9000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
금조갈비,2020-08-06 - 2020-08-07,1,여,45 - 60,일급,100000,주6일,기타,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
해아름,2020-08-06 - 2020-08-07,1,여,연령 무관,일급,100000,"주말(토, 일)",풀타임,10:00~22:00,사무직,무관,2020-08-13
사마르호프,2020-08-06 - 2020-08-14,1,여,45 - 55,시급,10000,주6일,저녁 타임,17:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
약선한방족발,2020-08-06 - 2020-08-30,1,여,35 - 60,시급,10000,주1일,기타,17:30~23:00,주방보조 및 홀서빙,무관,2020-08-13
감자바위식당,2020-08-06 - 2020-08-06,1,여,연령 무관,시급,8590,주1일,풀타임,09:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
수가성 장성점,2020-08-06 - 2020-08-07,1,여,연령 무관,일급,100000,주1일,기타,09:30~21:30,주방보조 및 홀서빙,무관,2020-08-13
명천회식당,2020-08-06 - 2020-08-07,1,여,30 - 50,일급,90000,주1일,풀타임,09:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
해양횟집,2020-08-06 - 2020-08-31,1,여,연령 무관,일급,110000,주6일,기타,22:00~10:00,주방보조 및 홀서빙,무관,2020-08-13
전원숯불,2020-08-06 - 2020-08-06,1,여,30 - 63,일급,100000,주1일,기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
대풍가든,2020-08-06 - 2020-08-10,1,여,연령 무관,시급,10000,주1일,기타,10:00~14:00,주방보조 및 홀서빙,자투리시간,2020-08-13
돈통마늘보쌈,2020-08-06 - 2020-08-06,1,여,30 - 60,일급,90000,주2일,기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
신돈값하는 국밥집,2020-08-05 - 2020-08-14,1,여,연령 무관,일급,55000,주3일,기타,15:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
소우리,2020-08-05 - 2020-08-05,1,여,40 - 60,일급,50000,주1일,저녁 타임,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
소우리,2020-08-05 - 2020-08-09,1,여,40 - 60,일급,100000,주1일,풀타임,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
금강산회식당,2020-08-05 - 2020-08-05,1,여,30 - 60,시급,10000,주1일,기타,10:00~14:00,주방보조 및 홀서빙,자투리시간,2020-08-13
24시 전주콩나물국밥(죽도동),2020-08-05 - 2020-08-05,1,여,40 - 60,시급,8590,주1일,기타,12:00~15:00,주방보조 및 홀서빙,자투리시간,2020-08-13
조마루뼈다귀해장국,2020-08-05 - 2020-08-05,1,여,연령 무관,일급,90000,주1일,기타,10:00~22:00,사무직,자투리시간,2020-08-13
대복삼계탕,2020-08-05 - 2020-08-06,1,여,30 - 60,시급,10000,주1일,기타,10:30~14:30,주방보조 및 홀서빙,무관,2020-08-13
낚시꾼의 집,2020-08-05 - 2020-08-05,1,여,연령 무관,시급,10000,주1일,저녁 타임,11:00~23:00,주방보조 및 홀서빙,자투리시간,2020-08-13
과수원,2020-08-05 - 2020-08-06,1,여,연령 무관,시급,9000,주1일,풀타임,18:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
갬스터,2020-08-05 - 2020-08-08,1,여,연령 무관,시급,9000,주4일,기타,18:00~04:00,주방보조 및 홀서빙,무관,2020-08-13
무한대장,2020-08-05 - 2020-08-07,1,성별무관,연령 무관,시급,9000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
