"시도별(17개)","규모별","직종별",2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2
"시도별(17개)","규모별","직종별",현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%)
"전국","전규모(5인이상)","전직종",12320546,621350,556807,64543,238002,253067,1.9
"서울특별시","전규모(5인이상)","전직종",3274711,179381,161988,17393,68147,69394,2.0
"부산광역시","전규모(5인이상)","전직종",737522,37741,32696,5045,11501,12142,1.5
"대구광역시","전규모(5인이상)","전직종",475763,22562,20739,1823,6228,8102,1.3
"인천광역시","전규모(5인이상)","전직종",580299,26798,23996,2802,9578,10240,1.6
"광주광역시","전규모(5인이상)","전직종",326884,15436,14272,1164,5825,6188,1.8
"대전광역시","전규모(5인이상)","전직종",325992,15472,13433,2039,6316,6704,1.9
"울산광역시","전규모(5인이상)","전직종",317219,8970,8383,587,2827,2768,0.9
"세종특별자치시","전규모(5인이상)","전직종",59152,2366,2126,240,1044,1093,1.7
"경기도","전규모(5인이상)","전직종",2948909,146796,132321,14475,68134,68426,2.3
"강원도","전규모(5인이상)","전직종",269885,19061,17535,1526,6302,7880,2.3
"충청북도","전규모(5인이상)","전직종",386630,30288,26546,3742,8475,12246,2.1
"충청남도","전규모(5인이상)","전직종",524476,22511,19935,2576,9194,9561,1.7
"전라북도","전규모(5인이상)","전직종",327608,18094,16195,1899,6206,7991,1.9
"전라남도","전규모(5인이상)","전직종",340744,13841,12452,1389,4332,4736,1.3
"경상북도","전규모(5인이상)","전직종",580468,25031,21193,3838,9757,10875,1.7
"경상남도","전규모(5인이상)","전직종",722344,31395,27868,3527,11973,12306,1.6
"제주특별자치도","전규모(5인이상)","전직종",121942,5607,5128,479,2165,2416,1.7
